,street_name,city_name,total_square_meters,living_square_meters,kitchen_square_meters,rooms_count,floor,wall_type,inspected,construction_year,heating,seller,water,building_condition,floors_count,price_uah
135,улица,Винница,47.0,32.0,6.0,3.0,5,панель,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),нормальное,5,916030
136,other,Винница,64.0,35.0,12.0,2.0,10,кирпич,True,2014.0,other,other,other,отличное,12,1106870
137,улица,Винница,40.0,32.0,13.0,1.0,3,кирпич,True,2016,индивидуальное,от посредника,централизованное (водопровод),хорошее,4,763359
138,other,Казатин,59.0,32.0,9.0,3.0,1,кирпич,False,2014.0,индивидуальное,от посредника,other,other,5,585242
139,улица,Винница,68.0,38.0,14.0,2.0,8,кирпич,True,2018,индивидуальное,от посредника,централизованное (водопровод),отличное,9,1628499
140,шоссе,Винница,77.0,40.0,14.0,2.0,3,кирпич,True,2019,без отопления,от представителя хозяина (без комиссионных),other,other,5,699745
141,улица,Винница,35.0,32.0,8.7,1.0,3,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),отличное,10,763359
142,other,Винница,54.0,28.0,18.0,2.0,11,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),отличное,12,1246819
143,улица,Винница,67.0,30.0,20.0,3.0,5,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),хорошее,8,1475827
144,переулок,Харьков,19.0,16.0,3.0,1.0,6,кирпич,True,2014.0,индивидуальное,от застройщика,централизованное (водопровод),отличное,6,513486
145,other,Винница,69.0,32.0,14.0,2.0,10,кирпич,False,2015,other,от посредника,other,other,10,1272265
146,улица,Винница,60.0,29.0,16.0,2.0,5,кирпич,True,2018,индивидуальное,от посредника,централизованное (водопровод),отличное,7,1653944
147,улица,Винница,86.0,41.0,13.0,3.0,5,кирпич,True,2018,индивидуальное,от посредника,централизованное (водопровод),отличное,9,1781170
148,улица,Винница,56.03,24.0,14.2,1.0,5,газоблок,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),нормальное,6,763359
